step,train_loss,train_acc,val_loss,val_acc
0,4.756358754033961,0.008616187609732151,4.758130857285087,0.009956371039152145
100,2.1692899781829187,0.498694509267807,7.758558254201205,0.01342432014644146
200,0.01919162263830678,1.0,15.691317596692334,0.039266135543584824
300,0.006861903989868386,1.0,16.101010235104877,0.04306969419121742
400,0.002238859173968565,1.0,16.960257284977025,0.04732073098421097
500,0.0007447050329185926,1.0,17.91145174215379,0.052242979407310486
600,0.0002515783819914537,1.0,18.899099234094244,0.05571093037724495
700,8.610796210920321e-05,1.0,19.898145570321343,0.057948317378759384
800,2.9956736994929727e-05,1.0,20.897133534341698,0.0609687902033329
900,1.0701770802387297e-05,1.0,21.873646101406987,0.06421300023794174
1000,4.014873553206981e-06,1.0,22.790740345627363,0.06622664630413055
1100,1.6624678690118726e-06,1.0,23.589432351254107,0.06924711912870407
1200,8.137875165043513e-07,1.0,24.193642188164063,0.07003020495176315
1300,4.996650420457159e-07,1.0,24.51676777516597,0.07126076519489288
1400,3.859455600590059e-07,1.0,24.570918414424018,0.07170824706554413
1500,3.506730557798819e-07,1.0,24.435595583993294,0.0733862817287445
1600,3.418902607414409e-07,1.0,24.217622415865126,0.0742812380194664
1700,3.396978646111585e-07,1.0,23.9785578435708,0.07595928013324738
1800,3.383686635398867e-07,1.0,23.74603390143413,0.07730171084403992
1900,3.3686469951616897e-07,1.0,23.505072719744273,0.07987470924854279
2000,3.3529161026461796e-07,1.0,23.26338640184046,0.08222395926713943
2100,3.336741367829978e-07,1.0,23.014452545262273,0.08311891555786133
2200,3.321395627955095e-07,1.0,22.757670900491767,0.08345452696084976
2300,3.3002998997747196e-07,1.0,22.487871344427422,0.08490882813930511
2400,3.2825633699346906e-07,1.0,22.215843673402492,0.08602751791477203
2500,3.26564618754626e-07,1.0,21.939841138629774,0.08871238678693771
2600,3.245470695677016e-07,1.0,21.65255257681258,0.0905022919178009
2700,3.229706499637836e-07,1.0,21.354109509263342,0.09262780845165253
2800,3.2124002283895433e-07,1.0,21.051774561043374,0.0943058505654335
2900,3.1918340539057244e-07,1.0,20.738501041895645,0.09755006432533264
3000,3.172752006446312e-07,1.0,20.409642318187952,0.10034679621458054
3100,3.1567463413474076e-07,1.0,20.07242391500601,0.10291978716850281
3200,3.137699547754139e-07,1.0,19.727587502389028,0.10560465604066849
3300,3.119854828244587e-07,1.0,19.38166671366214,0.10929634422063828
3400,3.100799589697914e-07,1.0,19.027679150284428,0.11410672217607498
3500,3.0825370434330337e-07,1.0,18.669568520983102,0.11723906546831131
3600,3.064549486072652e-07,1.0,18.30555826268065,0.12059514224529266
3700,3.0434526054592963e-07,1.0,17.92525416102319,0.12585300207138062
3800,3.025456044646947e-07,1.0,17.52889263424731,0.12999217212200165
3900,3.0045916564759694e-07,1.0,17.116067148161324,0.13502629101276398
4000,2.9844155750337876e-07,1.0,16.686798176881993,0.13938918709754944
4100,2.962199410708439e-07,1.0,16.243214046466505,0.14330461621284485
4200,2.9419716384841457e-07,1.0,15.788373016528588,0.15012864768505096
4300,2.922895680391458e-07,1.0,15.329277957917027,0.158071368932724
4400,2.902580892215131e-07,1.0,14.87621887393555,0.16243427991867065
4500,2.8829368144490703e-07,1.0,14.41290618661201,0.16881082952022552
4600,2.8593796050049424e-07,1.0,13.929479723956224,0.17585860192775726
4700,2.8387642641906545e-07,1.0,13.44296381402835,0.1838013231754303
4800,2.8181809326262313e-07,1.0,12.962067801464727,0.19409330189228058
4900,2.79682149024664e-07,1.0,12.47881399539727,0.20136480033397675
5000,2.771863295150854e-07,1.0,11.988508606733097,0.2114330530166626
5100,2.746786591929994e-07,1.0,11.485612087914852,0.22418615221977234
5200,2.7228100728989507e-07,1.0,10.967916280211993,0.2352612167596817
5300,2.6982794047990803e-07,1.0,10.434123774635676,0.24644814431667328
5400,2.6731064161821136e-07,1.0,9.884731828782707,0.2580825686454773
5500,2.64168412966344e-07,1.0,9.293718532961226,0.27463921904563904
5600,2.6083622176964685e-07,1.0,8.67473638561723,0.2926501929759979
5700,2.5737834671181136e-07,1.0,8.025407634088477,0.3112204968929291
5800,2.533706475418038e-07,1.0,7.340732139446187,0.3304620087146759
5900,2.4909353082548846e-07,1.0,6.6246281788470105,0.3601073920726776
6000,2.437837970029501e-07,1.0,5.861786760054116,0.38986462354660034
6100,2.3772797136207005e-07,1.0,5.038056956400036,0.43550732731819153
6200,2.3039700770551285e-07,1.0,4.147088368706267,0.49278444051742554
6300,2.2172395535736352e-07,1.0,3.2160914242524683,0.5583398342132568
6400,2.127917012822336e-07,1.0,2.3207520945940048,0.6351941227912903
6500,2.0385179831726927e-07,1.0,1.5579998706199298,0.7176417708396912
6600,1.9648061694761743e-07,1.0,0.9861912249990601,0.7924823760986328
6700,1.8984022013212996e-07,1.0,0.597697910837356,0.8578140735626221
6800,1.8306808615353293e-07,1.0,0.35083623044523604,0.9092739820480347
6900,1.759790754935713e-07,1.0,0.1998731882897179,0.9445127844810486
7000,1.6907801805566313e-07,1.0,0.10896857818729648,0.9690122008323669
7100,1.6267055580803268e-07,1.0,0.05891873819483726,0.9817652702331543
7200,1.5553288496443327e-07,1.0,0.03119018032091356,0.9900436401367188
7300,1.487034066328741e-07,1.0,0.016422376147376534,0.9945183992385864
7400,1.4198603733489855e-07,1.0,0.008410778257587693,0.9969795346260071
7500,1.3611746598155975e-07,1.0,0.003917747311664242,0.9984338283538818
7600,1.3065685208871034e-07,1.0,0.0016323380798301005,0.9995525479316711
7700,1.2564213658628868e-07,1.0,0.0006736167947950709,0.9997762441635132
7800,1.2131886640813075e-07,1.0,0.00023373283537695555,1.0
7900,1.1753493128768118e-07,1.0,7.50689736146682e-05,1.0
8000,1.143130652897892e-07,1.0,2.4873788439716585e-05,1.0
8100,1.116227704788613e-07,1.0,8.433694745482856e-06,1.0
8200,1.095038440822132e-07,1.0,3.1984948258434916e-06,1.0
8300,1.0783842671140127e-07,1.0,1.4146791328946e-06,1.0
8400,1.066157245068987e-07,1.0,7.9365769932814e-07,1.0
8500,1.0570531795234252e-07,1.0,5.333357703493772e-07,1.0
8600,1.0498992018614516e-07,1.0,4.11164527910812e-07,1.0
8700,1.0445270450267135e-07,1.0,3.440396065679562e-07,1.0
