step,train_loss,train_acc,val_loss,val_acc,param_norm
0,4.110294950660299,0.017809439450502396,4.122171883240214,0.02075919322669506,36.147993916219775
50,3.5664596511701117,0.13178984820842743,4.53796611800547,0.0065243178978562355,36.20010378010698
100,1.6862868066114578,0.6028494834899902,6.473359822196545,0.03321471065282822,41.058934865427204
150,0.0313865868608489,1.0,11.269332515672351,0.11032028496265411,45.99216968857963
200,0.013338221044250139,1.0,11.465027295319912,0.12396203726530075,45.7241577730328
250,0.008318738065334834,1.0,11.425197985313478,0.13226571679115295,45.33989516738913
300,0.004644955248463866,1.0,11.606346694711874,0.13997627794742584,45.11824134849288
350,0.002622340421220883,1.0,11.819359628636882,0.150059312582016,44.943060127852945
400,0.0014944169049416812,1.0,12.050205557748265,0.16192170977592468,44.80353893484687
450,0.0008556525269561259,1.0,12.296233495148956,0.1666666716337204,44.69618332702833
500,0.0004921389305782689,1.0,12.548103750144993,0.1743772178888321,44.61398042490719
550,0.0002842529825350007,1.0,12.813125978808412,0.17674970626831055,44.55194999067164
600,0.00016444923254615152,1.0,13.077521955443974,0.17971530556678772,44.50425258520743
650,9.576707395674716e-05,1.0,13.347294477345345,0.1832740157842636,44.46791210225451
700,5.5835698788474035e-05,1.0,13.624671260742112,0.18446026742458344,44.43857013262966
750,3.271694569326404e-05,1.0,13.903686103842903,0.1874258667230606,44.40910813159503
800,1.9243182956414218e-05,1.0,14.172708044412747,0.19335706532001495,44.37356357793046
850,1.1374137833083898e-05,1.0,14.426829535937648,0.1992882490158081,44.32455621572353
900,6.7759126755328686e-06,1.0,14.667226759279616,0.20403321087360382,44.25503827481344
950,4.082585197826958e-06,1.0,14.886653322750126,0.20818504691123962,44.16101857596895
1000,2.4953293735422567e-06,1.0,15.085837729123792,0.21411624550819397,44.0330261093955
1050,1.5556508700604172e-06,1.0,15.260889301779443,0.22004744410514832,43.86605924494319
1100,9.998481788469125e-07,1.0,15.413656195899886,0.22479240596294403,43.65636642693863
1150,6.639437119249634e-07,1.0,15.538462819233807,0.22894424200057983,43.39829490544951
1200,4.6129933869761434e-07,1.0,15.621148960618783,0.231909841299057,43.08803963606938
1250,3.38073355648889e-07,1.0,15.671580705434176,0.23428232967853546,42.72997632267524
1300,2.620480933899486e-07,1.0,15.682699362441017,0.23902727663516998,42.33194738261079
1350,2.1538892508153363e-07,1.0,15.654500097356122,0.2402135282754898,41.905622539365936
1400,1.871207755878772e-07,1.0,15.593037730282697,0.2437722384929657,41.46627827365146
1450,1.707595485441955e-07,1.0,15.496790883796148,0.24614472687244415,41.02825569296685
1500,1.6176741784382796e-07,1.0,15.375897088084917,0.2485172003507614,40.604782148119526
1550,1.5727530016825895e-07,1.0,15.242284274085481,0.2485172003507614,40.205258173347886
1600,1.550748508863719e-07,1.0,15.096115499353987,0.25088968873023987,39.83443975261533
1650,1.5411104576812661e-07,1.0,14.942743640377168,0.25444838404655457,39.49332968541956
1700,1.5361239644698762e-07,1.0,14.783700572714432,0.2550415098667145,39.18172527561319
1750,1.5329963556022688e-07,1.0,14.624913387487222,0.25741398334503174,38.89725693293285
1800,1.5304240053357194e-07,1.0,14.465615029636888,0.25860023498535156,38.63748244055485
1850,1.5279743855874707e-07,1.0,14.307066169087564,0.26156583428382874,38.39960820289573
1900,1.5243736726979102e-07,1.0,14.14298142329005,0.2633451819419861,38.18122892027661
1950,1.520098907227822e-07,1.0,13.977838414820766,0.27046263217926025,37.979634380465185
2000,1.5164500070660016e-07,1.0,13.811397236868919,0.2728351056575775,37.792696274136944
2050,1.5111414479366945e-07,1.0,13.646427878070414,0.27461448311805725,37.61920643288944
2100,1.506120751402743e-07,1.0,13.481327999392933,0.2793594300746918,37.457334357669595
2150,1.501292477858396e-07,1.0,13.313917749505887,0.2846975028514862,37.305373813554255
2200,1.495960159073985e-07,1.0,13.139689413332881,0.2888493537902832,37.162027185010416
2250,1.4904281507863243e-07,1.0,12.964685830342878,0.29122182726860046,37.026649126916645
2300,1.4848621811352904e-07,1.0,12.790307360138414,0.29833927750587463,36.897922161091095
2350,1.479118077384215e-07,1.0,12.615112099156082,0.29893237352371216,36.77565486089883
2400,1.473473558685186e-07,1.0,12.437212122399592,0.30249109864234924,36.658816545856794
2450,1.4672485169184087e-07,1.0,12.253550792283626,0.30664294958114624,36.54651076431809
2500,1.4609526645563734e-07,1.0,12.066891729303004,0.3119810223579407,36.437868527742104
2550,1.4557673908070166e-07,1.0,11.88689293659217,0.31613287329673767,36.33354807128992
2600,1.4488373032141704e-07,1.0,11.700147423902706,0.3214709460735321,36.23247001395168
2650,1.442791759486124e-07,1.0,11.507708781095786,0.3244365453720093,36.133396784955025
2700,1.437257749254187e-07,1.0,11.315625472189847,0.32740214467048645,36.037035627346164
2750,1.4306377569778706e-07,1.0,11.121920658948138,0.33214709162712097,35.94311775075722
2800,1.424552733739075e-07,1.0,10.924991445425533,0.33985763788223267,35.85059080607462
2850,1.4182677315741375e-07,1.0,10.720562459046214,0.3451957404613495,35.75938470295073
2900,1.4119004086636433e-07,1.0,10.514113441253741,0.349940687417984,35.66974491771019
2950,1.4065514563927372e-07,1.0,10.30317103676146,0.3534994125366211,35.58149844125497
3000,1.398972698038468e-07,1.0,10.088977953295803,0.35646501183509827,35.49399852771973
3050,1.3929300606884914e-07,1.0,9.869756254838176,0.3618030846118927,35.40700713548457
3100,1.385520339399679e-07,1.0,9.646043674467071,0.36714115738868713,35.32025185342401
3150,1.3782590213014385e-07,1.0,9.417921688258602,0.37247923016548157,35.233246977329955
3200,1.3713038098324785e-07,1.0,9.180769793730976,0.3772242069244385,35.14606333237992
3250,1.3640810980496364e-07,1.0,8.935471406487977,0.38790035247802734,35.058617618244554
3300,1.356913074009934e-07,1.0,8.684405916595049,0.39679715037345886,34.97075040584666
3350,1.349514308192375e-07,1.0,8.431557784088389,0.40035587549209595,34.88280627878425
3400,1.341307505664011e-07,1.0,8.17492642199896,0.4062870740890503,34.794154465858846
3450,1.3337487235823924e-07,1.0,7.910170292415109,0.4175563454627991,34.704484466789715
3500,1.325796559927534e-07,1.0,7.6421932586787005,0.4223012924194336,34.614194136703375
3550,1.3152513159227655e-07,1.0,7.364787022648827,0.4300118684768677,34.52213278771464
3600,1.3056396770031947e-07,1.0,7.074087504510814,0.4347568154335022,34.42661354979385
3650,1.297617490331027e-07,1.0,6.783440265765737,0.446026086807251,34.32965762655538
3700,1.2872849181476535e-07,1.0,6.489016801817336,0.45670226216316223,34.23150100505017
3750,1.2772905765094285e-07,1.0,6.1872234050012365,0.47034400701522827,34.13035131319204
